

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.380e+01	 2.380e+01	 2.380e+01	 0.000e+00
       Maxwell	 3.395e+00	 3.395e+00	 3.395e+00	 0.000e+00
    Maxwell_BC	 3.221e+00	 3.221e+00	 3.221e+00	 0.000e+00
   Diagnostics	 3.149e+01	 3.149e+01	 3.149e+01	 0.000e+00
     Densities	 1.186e+00	 1.186e+00	 1.186e+00	 0.000e+00
    Collisions	 3.468e+00	 3.468e+00	 3.468e+00	 0.000e+00
    Mov window	 9.437e-01	 9.437e-01	 9.437e-01	 0.000e+00
Sync Particles	 3.207e+01	 3.207e+01	 3.207e+01	 0.000e+00
   Sync Fields	 1.018e+01	 1.018e+01	 1.018e+01	 0.000e+00
Sync Densities	 1.170e+01	 1.170e+01	 1.170e+01	 0.000e+00
  Part Merging	 1.846e+00	 1.846e+00	 1.846e+00	 0.000e+00
Part Injection	 4.650e+00	 4.650e+00	 4.650e+00	 0.000e+00


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.454e+01	 5.454e+01	 5.454e+01	 0.000e+00
       Maxwell	 5.445e+00	 5.445e+00	 5.445e+00	 0.000e+00
    Maxwell_BC	 5.251e+00	 5.251e+00	 5.251e+00	 0.000e+00
   Diagnostics	 5.304e+01	 5.304e+01	 5.304e+01	 0.000e+00
     Densities	 1.921e+00	 1.921e+00	 1.921e+00	 0.000e+00
    Collisions	 5.288e+00	 5.288e+00	 5.288e+00	 0.000e+00
    Mov window	 1.416e+00	 1.416e+00	 1.416e+00	 0.000e+00
Sync Particles	 5.191e+01	 5.191e+01	 5.191e+01	 0.000e+00
   Sync Fields	 1.614e+01	 1.614e+01	 1.614e+01	 0.000e+00
Sync Densities	 1.864e+01	 1.864e+01	 1.864e+01	 0.000e+00
  Part Merging	 2.876e+00	 2.876e+00	 2.876e+00	 0.000e+00
Part Injection	 9.729e+00	 9.729e+00	 9.729e+00	 0.000e+00


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 8.950e+01	 8.950e+01	 8.950e+01	 0.000e+00
       Maxwell	 7.487e+00	 7.487e+00	 7.487e+00	 0.000e+00
    Maxwell_BC	 7.134e+00	 7.134e+00	 7.134e+00	 0.000e+00
   Diagnostics	 7.655e+01	 7.655e+01	 7.655e+01	 0.000e+00
     Densities	 2.635e+00	 2.635e+00	 2.635e+00	 0.000e+00
    Collisions	 7.019e+00	 7.019e+00	 7.019e+00	 0.000e+00
    Mov window	 1.928e+00	 1.928e+00	 1.928e+00	 0.000e+00
Sync Particles	 7.035e+01	 7.035e+01	 7.035e+01	 0.000e+00
   Sync Fields	 2.173e+01	 2.173e+01	 2.173e+01	 0.000e+00
Sync Densities	 2.492e+01	 2.492e+01	 2.492e+01	 0.000e+00
  Part Merging	 3.812e+00	 3.812e+00	 3.812e+00	 0.000e+00
Part Injection	 1.496e+01	 1.496e+01	 1.496e+01	 0.000e+00


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.245e+02	 1.245e+02	 1.245e+02	 0.000e+00
       Maxwell	 1.074e+01	 1.074e+01	 1.074e+01	 0.000e+00
    Maxwell_BC	 1.022e+01	 1.022e+01	 1.022e+01	 0.000e+00
   Diagnostics	 1.124e+02	 1.124e+02	 1.124e+02	 0.000e+00
     Densities	 3.700e+00	 3.700e+00	 3.700e+00	 0.000e+00
    Collisions	 1.068e+01	 1.068e+01	 1.068e+01	 0.000e+00
    Mov window	 2.848e+00	 2.848e+00	 2.848e+00	 0.000e+00
Sync Particles	 1.033e+02	 1.033e+02	 1.033e+02	 0.000e+00
   Sync Fields	 3.151e+01	 3.151e+01	 3.151e+01	 0.000e+00
Sync Densities	 3.635e+01	 3.635e+01	 3.635e+01	 0.000e+00
  Part Merging	 5.688e+00	 5.688e+00	 5.688e+00	 0.000e+00
Part Injection	 2.043e+01	 2.043e+01	 2.043e+01	 0.000e+00


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.547e+02	 1.547e+02	 1.547e+02	 0.000e+00
       Maxwell	 1.577e+01	 1.577e+01	 1.577e+01	 0.000e+00
    Maxwell_BC	 1.511e+01	 1.511e+01	 1.511e+01	 0.000e+00
   Diagnostics	 1.632e+02	 1.632e+02	 1.632e+02	 0.000e+00
     Densities	 5.353e+00	 5.353e+00	 5.353e+00	 0.000e+00
    Collisions	 1.710e+01	 1.710e+01	 1.710e+01	 0.000e+00
    Mov window	 4.434e+00	 4.434e+00	 4.434e+00	 0.000e+00
Sync Particles	 1.563e+02	 1.563e+02	 1.563e+02	 0.000e+00
   Sync Fields	 4.744e+01	 4.744e+01	 4.744e+01	 0.000e+00
Sync Densities	 5.410e+01	 5.410e+01	 5.410e+01	 0.000e+00
  Part Merging	 8.876e+00	 8.876e+00	 8.876e+00	 0.000e+00
Part Injection	 2.587e+01	 2.587e+01	 2.587e+01	 0.000e+00


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.858e+02	 1.858e+02	 1.858e+02	 0.000e+00
       Maxwell	 2.093e+01	 2.093e+01	 2.093e+01	 0.000e+00
    Maxwell_BC	 2.002e+01	 2.002e+01	 2.002e+01	 0.000e+00
   Diagnostics	 2.157e+02	 2.157e+02	 2.157e+02	 0.000e+00
     Densities	 7.001e+00	 7.001e+00	 7.001e+00	 0.000e+00
    Collisions	 2.366e+01	 2.366e+01	 2.366e+01	 0.000e+00
    Mov window	 6.120e+00	 6.120e+00	 6.120e+00	 0.000e+00
Sync Particles	 2.100e+02	 2.100e+02	 2.100e+02	 0.000e+00
   Sync Fields	 6.390e+01	 6.390e+01	 6.390e+01	 0.000e+00
Sync Densities	 7.220e+01	 7.220e+01	 7.220e+01	 0.000e+00
  Part Merging	 1.206e+01	 1.206e+01	 1.206e+01	 0.000e+00
Part Injection	 3.144e+01	 3.144e+01	 3.144e+01	 0.000e+00


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.238e+02	 2.238e+02	 2.238e+02	 0.000e+00
       Maxwell	 2.620e+01	 2.620e+01	 2.620e+01	 0.000e+00
    Maxwell_BC	 2.507e+01	 2.507e+01	 2.507e+01	 0.000e+00
   Diagnostics	 2.696e+02	 2.696e+02	 2.696e+02	 0.000e+00
     Densities	 8.819e+00	 8.819e+00	 8.819e+00	 0.000e+00
    Collisions	 3.028e+01	 3.028e+01	 3.028e+01	 0.000e+00
    Mov window	 7.742e+00	 7.742e+00	 7.742e+00	 0.000e+00
Sync Particles	 2.652e+02	 2.652e+02	 2.652e+02	 0.000e+00
   Sync Fields	 8.058e+01	 8.058e+01	 8.058e+01	 0.000e+00
Sync Densities	 9.115e+01	 9.115e+01	 9.115e+01	 0.000e+00
  Part Merging	 1.525e+01	 1.525e+01	 1.525e+01	 0.000e+00
Part Injection	 3.703e+01	 3.703e+01	 3.703e+01	 0.000e+00


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.643e+02	 2.643e+02	 2.643e+02	 0.000e+00
       Maxwell	 3.124e+01	 3.124e+01	 3.124e+01	 0.000e+00
    Maxwell_BC	 3.018e+01	 3.018e+01	 3.018e+01	 0.000e+00
   Diagnostics	 3.237e+02	 3.237e+02	 3.237e+02	 0.000e+00
     Densities	 1.061e+01	 1.061e+01	 1.061e+01	 0.000e+00
    Collisions	 3.670e+01	 3.670e+01	 3.670e+01	 0.000e+00
    Mov window	 9.395e+00	 9.395e+00	 9.395e+00	 0.000e+00
Sync Particles	 3.196e+02	 3.196e+02	 3.196e+02	 0.000e+00
   Sync Fields	 9.673e+01	 9.673e+01	 9.673e+01	 0.000e+00
Sync Densities	 1.098e+02	 1.098e+02	 1.098e+02	 0.000e+00
  Part Merging	 1.835e+01	 1.835e+01	 1.835e+01	 0.000e+00
Part Injection	 4.237e+01	 4.237e+01	 4.237e+01	 0.000e+00


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.069e+02	 3.069e+02	 3.069e+02	 0.000e+00
       Maxwell	 3.641e+01	 3.641e+01	 3.641e+01	 0.000e+00
    Maxwell_BC	 3.523e+01	 3.523e+01	 3.523e+01	 0.000e+00
   Diagnostics	 3.787e+02	 3.787e+02	 3.787e+02	 0.000e+00
     Densities	 1.233e+01	 1.233e+01	 1.233e+01	 0.000e+00
    Collisions	 4.328e+01	 4.328e+01	 4.328e+01	 0.000e+00
    Mov window	 1.101e+01	 1.101e+01	 1.101e+01	 0.000e+00
Sync Particles	 3.752e+02	 3.752e+02	 3.752e+02	 0.000e+00
   Sync Fields	 1.131e+02	 1.131e+02	 1.131e+02	 0.000e+00
Sync Densities	 1.289e+02	 1.289e+02	 1.289e+02	 0.000e+00
  Part Merging	 2.162e+01	 2.162e+01	 2.162e+01	 0.000e+00
Part Injection	 4.785e+01	 4.785e+01	 4.785e+01	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.509e+02	 3.509e+02	 3.509e+02	 0.000e+00
       Maxwell	 4.180e+01	 4.180e+01	 4.180e+01	 0.000e+00
    Maxwell_BC	 4.038e+01	 4.038e+01	 4.038e+01	 0.000e+00
   Diagnostics	 4.357e+02	 4.357e+02	 4.357e+02	 0.000e+00
     Densities	 1.417e+01	 1.417e+01	 1.417e+01	 0.000e+00
    Collisions	 4.993e+01	 4.993e+01	 4.993e+01	 0.000e+00
    Mov window	 1.271e+01	 1.271e+01	 1.271e+01	 0.000e+00
Sync Particles	 4.318e+02	 4.318e+02	 4.318e+02	 0.000e+00
   Sync Fields	 1.299e+02	 1.299e+02	 1.299e+02	 0.000e+00
Sync Densities	 1.480e+02	 1.480e+02	 1.480e+02	 0.000e+00
  Part Merging	 2.491e+01	 2.491e+01	 2.491e+01	 0.000e+00
Part Injection	 5.379e+01	 5.379e+01	 5.379e+01	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.509e+02	 3.509e+02	 3.509e+02	 0.000e+00
       Maxwell	 4.180e+01	 4.180e+01	 4.180e+01	 0.000e+00
    Maxwell_BC	 4.038e+01	 4.038e+01	 4.038e+01	 0.000e+00
   Diagnostics	 4.357e+02	 4.357e+02	 4.357e+02	 0.000e+00
     Densities	 1.417e+01	 1.417e+01	 1.417e+01	 0.000e+00
    Collisions	 4.993e+01	 4.993e+01	 4.993e+01	 0.000e+00
    Mov window	 1.271e+01	 1.271e+01	 1.271e+01	 0.000e+00
Sync Particles	 4.318e+02	 4.318e+02	 4.318e+02	 0.000e+00
   Sync Fields	 1.299e+02	 1.299e+02	 1.299e+02	 0.000e+00
Sync Densities	 1.480e+02	 1.480e+02	 1.480e+02	 0.000e+00
  Part Merging	 2.491e+01	 2.491e+01	 2.491e+01	 0.000e+00
Part Injection	 5.379e+01	 5.379e+01	 5.379e+01	 0.000e+00
