# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_electrons
# 18 Ntot_electrons
# 19 Zavg_electrons
# 20 Ukin_electrons
# 21 Urad_electrons
# 22 Dens_ions
# 23 Ntot_ions
# 24 Zavg_ions
# 25 Ukin_ions
# 26 Urad_ions
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw      Dens_electrons      Ntot_electrons      Zavg_electrons      Ukin_electrons      Urad_electrons           Dens_ions           Ntot_ions           Zavg_ions           Ukin_ions           Urad_ions             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3255407159e-03    1.3255407159e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3255407159e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    1.6000000000e+05   -1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    1.6000000000e+05    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.6564981854e-04    6.5989089740e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -5.4989696686e-03               71843    5.0559554675e-03               32236   -5.1624167540e-03               22530    4.9215291356e-03                 890    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.2069955232e-01               71628    1.2284753307e-01               52358    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.0000000000e+00   -1.7999459636e-03   -5.9872892691e-06    3.3263716747e-03    3.3323589639e-03    2.0659484447e-03    0.0000000000e+00    0.0000000000e+00    1.2604232300e-03    3.0632787418e-11    0.0000000000e+00    0.0000000000e+00    2.0068882046e-03   -6.9926008071e-08    0.0000000000e+00    0.0000000000e+00    7.9999226858e+01    1.6042000000e+05   -1.0000000000e+00    6.0174024893e-05    0.0000000000e+00    8.0000216851e+01    1.6040400000e+05    1.0000000000e+00    2.0057744198e-03    0.0000000000e+00    6.3284688242e-04    6.2756925250e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.0950601910e-09   -5.3812490088e-03               71843    4.9417015255e-03               32236   -5.0611463189e-03               22530    4.7524686662e-03                 890    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -7.8532043017e-05                1327    3.7848995446e-05                 907   -4.0696744944e-04               34228    3.5794601677e-04               53344   -3.5961674613e-04               56913    3.8102780242e-04               39129    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.1801716968e-01               71628    1.2122323694e-01               52358   -7.7843653277e-08    1.6254481335e-11    0.0000000000e+00    0.0000000000e+00    7.9176452053e-09   -1.8559516791e-10    0.0000000000e+00    0.0000000000e+00
    2.0000000000e+00   -3.8332023301e-03   -2.2011112235e-05    5.7422255179e-03    5.7642366301e-03    4.6597962288e-03    0.0000000000e+00    0.0000000000e+00    1.0824292891e-03    3.0632787418e-11    0.0000000000e+00    0.0000000000e+00    4.4387056503e-03   -9.7055163200e-09    0.0000000000e+00    0.0000000000e+00    7.9999490323e+01    1.6082900000e+05   -1.0000000000e+00    2.2345130322e-04    0.0000000000e+00    8.0000479623e+01    1.6081200000e+05    1.0000000000e+00    4.4363449256e-03    0.0000000000e+00    5.4310230737e-04    5.3931322954e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3752217158e-08   -5.0292875578e-03               71843    4.5948121402e-03               32236   -4.7563670359e-03               22530    4.3546414995e-03               18607    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.9806634830e-05                3189    2.2567909016e-05                2613   -7.3877712223e-04               34228    7.0389117639e-04               53344   -6.9817716918e-04               59720    7.5137179950e-04               39129    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.1287774950e-01               56189    1.1623214575e-01               52358   -4.7620576876e-08    4.5538246239e-10    0.0000000000e+00    0.0000000000e+00    3.7915060556e-08   -4.1033246649e-10    0.0000000000e+00    0.0000000000e+00
    3.0000000000e+00   -5.4855641097e-03   -4.5982837746e-05    8.3825176092e-03    8.4285004469e-03    7.5474961171e-03    0.0000000000e+00    0.0000000000e+00    8.3502149203e-04    3.0632787418e-11    0.0000000000e+00    0.0000000000e+00    7.1028601421e-03    9.9619473470e-08    0.0000000000e+00    0.0000000000e+00    7.9999775631e+01    1.6119600000e+05   -1.0000000000e+00    4.4832006762e-04    0.0000000000e+00    8.0000767502e+01    1.6118500000e+05    1.0000000000e+00    7.0991760495e-03    0.0000000000e+00    4.1848410585e-04    4.1651496787e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.2418305226e-08   -4.4430985560e-03               71843    4.2106760554e-03               30700   -4.2395594071e-03               22530    3.8848823603e-03               18607    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -6.9586657973e-05               79878    2.6906221483e-05                  34   -9.6109870760e-04               65918    1.0221744834e-03               53344   -1.0623245623e-03               59720    1.1211344667e-03               26297    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.0588666636e-01               56189    1.0759755286e-01               52358    8.2780389062e-09    6.5768938415e-10    0.0000000000e+00    0.0000000000e+00    9.1341434564e-08   -6.6069659559e-10    0.0000000000e+00    0.0000000000e+00
    4.0000000000e+00   -6.2658452854e-03   -7.4449642453e-05    1.1881819461e-02    1.1956269104e-02    1.1303509570e-02    0.0000000000e+00    0.0000000000e+00    5.7830989127e-04    3.0632787418e-11    0.0000000000e+00    0.0000000000e+00    1.0630478475e-02    2.4994326490e-07    0.0000000000e+00    0.0000000000e+00    8.0000149881e+01    1.6160100000e+05   -1.0000000000e+00    6.7847961168e-04    0.0000000000e+00    8.0001148686e+01    1.6159600000e+05    1.0000000000e+00    1.0625029958e-02    0.0000000000e+00    2.8935832963e-04    2.8891722374e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.4337900729e-08   -3.6430269148e-03               71843    3.7033839592e-03               30700   -3.6283766087e-03               39180    3.2655486976e-03               34874    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -9.8936629007e-05               79878    4.0251203487e-05                  34   -1.2452998742e-03                 582    1.2756498987e-03               76506   -1.3656807683e-03               59720    1.4805393934e-03               26297    0.0000000000e+00                   1    0.0000000000e+00                   1   -9.6224568338e-02               56189    9.4898909273e-02               52358    7.8149518140e-08    7.1042099752e-10    0.0000000000e+00    0.0000000000e+00    1.7179374677e-07   -9.3614112733e-10    0.0000000000e+00    0.0000000000e+00
    5.0000000000e+00   -6.3541158001e-03   -1.0264065308e-04    1.6153412420e-02    1.6256053073e-02    1.5780293181e-02    0.0000000000e+00    0.0000000000e+00    3.7311923899e-04    4.5491265128e-09    0.0000000000e+00    0.0000000000e+00    1.4930091064e-02    4.2584155472e-07    0.0000000000e+00    0.0000000000e+00    7.9999587820e+01    1.6199600000e+05   -1.0000000000e+00    8.5776077133e-04    0.0000000000e+00    8.0001613299e+01    1.6201600000e+05    1.0000000000e+00    1.4922532409e-02    0.0000000000e+00    1.8648229949e-04    1.8658301659e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.3922903991e-08   -2.9861437201e-03               57408    3.0374852339e-03               30700   -3.1169611148e-03               39180    2.8693947460e-03               34874    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.2750351793e-04               79878    5.2420451766e-05                  34   -1.3962783737e-03                7639    1.4060297166e-03               76506   -1.4725509530e-03               59720    1.7381368444e-03               26297    0.0000000000e+00                   1    0.0000000000e+00                   1   -8.4095046991e-02               56189    7.8685725043e-02               25197    1.4727615734e-07    6.5749244848e-10    0.0000000000e+00    0.0000000000e+00    2.7856539738e-07   -1.2011259579e-09    0.0000000000e+00    0.0000000000e+00
    6.0000000000e+00   -6.0058228370e-03   -1.2540519722e-04    2.0880602145e-02    2.1006007343e-02    2.0617036482e-02    0.0000000000e+00    0.0000000000e+00    2.6356566303e-04    4.5491265128e-09    0.0000000000e+00    0.0000000000e+00    1.9679852814e-02    6.1836179830e-07    0.0000000000e+00    0.0000000000e+00    8.0000179422e+01    1.6244900000e+05   -1.0000000000e+00    9.4767050604e-04    0.0000000000e+00    8.0002126496e+01    1.6240700000e+05    1.0000000000e+00    1.9669365976e-02    0.0000000000e+00    1.3203196571e-04    1.3144678074e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.6916577651e-08   -2.6755714481e-03               57408    2.3889009926e-03               53769   -2.5035223506e-03               48891    2.4028225678e-03               66656    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.6076101035e-04               80078    6.4632483610e-05                  34   -1.4379941361e-03               10385    1.4148679290e-03               32236   -1.3895754713e-03               54157    1.6484199564e-03               26297    0.0000000000e+00                   1    0.0000000000e+00                   1   -7.0359276796e-02               56189    7.2232003883e-02               25197    2.0621304290e-07    5.1020650326e-10    0.0000000000e+00    0.0000000000e+00    4.1214875540e-07   -1.4693047868e-09    0.0000000000e+00    0.0000000000e+00
    7.0000000000e+00   -5.2080025619e-03   -1.3897359911e-04    2.6684625719e-02    2.6823599318e-02    2.6421189443e-02    0.0000000000e+00    0.0000000000e+00    2.6343627625e-04    4.5491265128e-09    0.0000000000e+00    0.0000000000e+00    2.5497244967e-02    8.1818455374e-07    0.0000000000e+00    0.0000000000e+00    8.0000772711e+01    1.6283200000e+05   -1.0000000000e+00    9.3741414993e-04    0.0000000000e+00    8.0002755119e+01    1.6281000000e+05    1.0000000000e+00    2.5483775293e-02    0.0000000000e+00    1.3276605627e-04    1.3053275098e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3746900969e-07   -2.5246376460e-03               53410    2.4033568030e-03               12885   -2.4385612788e-03               33994    2.3412053443e-03               34669    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.8891060094e-04               80078    7.3735506153e-05                  34   -1.3310888703e-03               10385    1.3094007257e-03               32236   -1.2486798794e-03               54157    1.3756894623e-03               26297    0.0000000000e+00                   1    0.0000000000e+00                   1   -6.2296703182e-02               34874    6.4537815071e-02               24556    2.4658546653e-07    2.9484918603e-10    0.0000000000e+00    0.0000000000e+00    5.7159908721e-07   -1.7139983769e-09    0.0000000000e+00    0.0000000000e+00
    8.0000000000e+00   -4.2463664186e-03   -1.4265947686e-04    3.3595658688e-02    3.3738318164e-02    3.3243342803e-02    0.0000000000e+00    0.0000000000e+00    3.5231588443e-04    6.1200529691e-09    0.0000000000e+00    0.0000000000e+00    3.2411762758e-02    1.0208104917e-06    0.0000000000e+00    0.0000000000e+00    8.0000996128e+01    1.6322300000e+05   -1.0000000000e+00    8.4872421413e-04    0.0000000000e+00    8.0003502287e+01    1.6321500000e+05    1.0000000000e+00    3.2394618589e-02    0.0000000000e+00    1.7812772053e-04    1.7398236042e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0580347701e-07   -2.7194812585e-03               53410    2.9596057541e-03               44707   -3.2729799239e-03               35545    2.9059882939e-03               61075    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -2.2117224027e-04               80078    8.2539714905e-05                 233   -1.1430851630e-03               19052    1.0782869490e-03               11606   -1.0890547192e-03               29537    1.0962806404e-03               79279    0.0000000000e+00                   1    0.0000000000e+00                   1   -6.9532945840e-02               39566    6.8383348009e-02               18645    2.6511626148e-07    7.5520128435e-11    0.0000000000e+00    0.0000000000e+00    7.5569423019e-07   -1.9615368957e-09    0.0000000000e+00    0.0000000000e+00
    9.0000000000e+00   -3.3472755909e-03   -1.3886816558e-04    4.1486923262e-02    4.1625791427e-02    4.1002390859e-02    0.0000000000e+00    0.0000000000e+00    4.8453240281e-04    2.4685594887e-08    0.0000000000e+00    0.0000000000e+00    4.0299050828e-02    1.2245690496e-06    0.0000000000e+00    0.0000000000e+00    7.9999352433e+01    1.6361100000e+05   -1.0000000000e+00    7.2483873439e-04    0.0000000000e+00    8.0004354553e+01    1.6360900000e+05    1.0000000000e+00    4.0277552124e-02    0.0000000000e+00    2.4486847094e-04    2.3937404524e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.8988663496e-07   -3.2998979721e-03               39728    3.5776526082e-03                9374   -3.9608878159e-03               35545    3.5494267374e-03               54157    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -2.4994073379e-04               80078    8.5563601696e-05                 233   -8.8227082961e-04               19052    9.0956341590e-04               63441   -8.7503077632e-04               29537    9.4468701819e-04               79279    0.0000000000e+00                   1    0.0000000000e+00                   1   -8.7010107009e-02               39566    7.1857272444e-02               18645    2.6275494552e-07   -1.1329180004e-10    0.0000000000e+00    0.0000000000e+00    9.6181410408e-07   -2.1290056361e-09    0.0000000000e+00    0.0000000000e+00
