# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_electrons
# 18 Ntot_electrons
# 19 Zavg_electrons
# 20 Ukin_electrons
# 21 Urad_electrons
# 22 Dens_ions
# 23 Ntot_ions
# 24 Zavg_ions
# 25 Ukin_ions
# 26 Urad_ions
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw      Dens_electrons      Ntot_electrons      Zavg_electrons      Ukin_electrons      Urad_electrons           Dens_ions           Ntot_ions           Zavg_ions           Ukin_ions           Urad_ions             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3255407159e-03    1.3255407159e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3255407159e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    1.6000000000e+05   -1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    1.6000000000e+05    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.6564981854e-04    6.5989089740e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -5.4989696686e-03               71843    5.0559554675e-03               32236   -5.1624167540e-03               22530    4.9215291356e-03                 890    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.2069955232e-01               71628    1.2284753307e-01               52358    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    5.0000000000e+00   -6.5721343108e-03   -1.0584270378e-04    1.6104768827e-02    1.6210611531e-02    1.5734876700e-02    0.0000000000e+00    0.0000000000e+00    3.6989212755e-04    4.5640611825e-09    0.0000000000e+00    0.0000000000e+00    1.4884639620e-02    4.3575882566e-07    0.0000000000e+00    0.0000000000e+00    7.9999623798e+01    1.6201600000e+05   -1.0000000000e+00    8.5798225358e-04    0.0000000000e+00    8.0001608365e+01    1.6201400000e+05    1.0000000000e+00    1.4876894446e-02    0.0000000000e+00    1.8486883220e-04    1.8496886427e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.4431085091e-08   -2.9808217523e-03               57408    3.0228064327e-03               30700   -3.1056735165e-03               39180    2.8606260731e-03               34874    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.2793860963e-04               80078    5.4524153028e-05                  34   -1.3963146589e-03                7639    1.4060562325e-03               76506   -1.4725819734e-03               59720    1.7378942316e-03               26297    0.0000000000e+00                   1    0.0000000000e+00                   1   -8.3833007717e-02               56189    7.8575054770e-02               25197    1.5237131098e-07    3.2961217179e-09    0.0000000000e+00    0.0000000000e+00    2.8338751469e-07   -6.0318822036e-09    0.0000000000e+00    0.0000000000e+00
    1.0000000000e+01   -2.5560927785e-03   -1.2935625706e-04    5.0607027314e-02    5.0736383571e-02    4.9997606403e-02    0.0000000000e+00    0.0000000000e+00    6.0942091023e-04    3.0902710567e-08    0.0000000000e+00    0.0000000000e+00    4.9409440932e-02    1.4328252388e-06    0.0000000000e+00    0.0000000000e+00    7.9999932900e+01    1.6403200000e+05   -1.0000000000e+00    6.1514468814e-04    0.0000000000e+00    8.0005338932e+01    1.6399200000e+05    1.0000000000e+00    4.9382461715e-02    0.0000000000e+00    3.0731715524e-04    3.0171626406e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.8749092468e-07   -3.7021104322e-03               69336    4.0689051670e-03                9374   -4.3849958179e-03               35545    3.9076500442e-03               54157    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -2.6981623512e-04               80078    7.7754273071e-05                 233   -6.8737114999e-04               79978    8.6354869886e-04               63441   -7.2310192595e-04                6012    7.6813880557e-04               79279    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.0535923540e-01               69136    7.2442565182e-02               18645    2.4217278781e-07   -1.3552275423e-09    0.0000000000e+00    0.0000000000e+00    1.1906524510e-06   -1.1329839842e-08    0.0000000000e+00    0.0000000000e+00
    1.5000000000e+01   -9.5164283601e-04   -1.2128048256e-04    1.2744327806e-01    1.2756455854e-01    1.2698500306e-01    0.0000000000e+00    0.0000000000e+00    4.5827499874e-04    7.7461438783e-08    0.0000000000e+00    0.0000000000e+00    1.2623666354e-01    2.4317483724e-06    0.0000000000e+00    0.0000000000e+00    8.0002072472e+01    1.6596000000e+05   -1.0000000000e+00    8.1614673829e-04    0.0000000000e+00    8.0013640657e+01    1.6598300000e+05    1.0000000000e+00    1.2616885632e-01    0.0000000000e+00    2.2755115532e-04    2.2992501691e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.9882650818e-07   -3.7173851805e-03               69336    3.5061942576e-03               17043   -3.5034294751e-03               64947    3.2960089874e-03               71816    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -3.1612003862e-04               80078    6.0035397949e-05                 382   -1.6616697507e-03               33850    1.6928203649e-03               72358   -1.7900554766e-03               35532    1.6199906666e-03               64132    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.0018418426e-01               69136    5.9422876803e-02                2214    6.8661032986e-08   -1.5877314825e-09    0.0000000000e+00    0.0000000000e+00    2.3630873394e-06   -1.1130082329e-08    0.0000000000e+00    0.0000000000e+00
    2.0000000000e+01   -4.3451520886e-04   -1.2520490369e-04    2.8814849545e-01    2.8827370036e-01    2.8760125829e-01    0.0000000000e+00    0.0000000000e+00    5.4723716089e-04    2.4770713879e-07    0.0000000000e+00    0.0000000000e+00    2.8694511992e-01    3.2874280471e-06    0.0000000000e+00    0.0000000000e+00    8.0012241371e+01    1.6790000000e+05   -1.0000000000e+00    8.0851481489e-04    0.0000000000e+00    8.0031006538e+01    1.6800900000e+05    1.0000000000e+00    2.8679274348e-01    0.0000000000e+00    2.7588776663e-04    2.7044674806e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.0264620276e-07   -3.7723418274e-03               47141    3.6390714007e-03               68528   -3.9912376338e-03               69460    3.3853751820e-03                1089    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051   -3.3817815852e-04               80024    4.2288197275e-05               33579   -1.2844879603e-03               42985    1.1088134626e-03               64946   -1.0018884099e-03               45446    1.1751222099e-03               11286    0.0000000000e+00               20051    0.0000000000e+00               20051   -7.4636887686e-02               18829    7.7655113485e-02               29125   -1.7520144716e-08   -1.7396837825e-10    0.0000000000e+00    0.0000000000e+00    3.3049481919e-06   -7.8667598003e-09    0.0000000000e+00    0.0000000000e+00
    2.5000000000e+01   -2.1881726569e-04   -1.3058590976e-04    5.9678064869e-01    5.9691123460e-01    5.9632946443e-01    0.0000000000e+00    0.0000000000e+00    4.5118425665e-04    4.1582732039e-07    0.0000000000e+00    0.0000000000e+00    5.9558217358e-01    3.9361303735e-06    0.0000000000e+00    0.0000000000e+00    8.0037195198e+01    1.6995500000e+05   -1.0000000000e+00    1.0714693551e-03    0.0000000000e+00    8.0064356273e+01    1.7003300000e+05    1.0000000000e+00    5.9525799508e-01    0.0000000000e+00    2.2467245346e-04    2.2523559038e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2762128085e-06   -3.5031714713e-03               16843    3.6823423202e-03               55212   -3.6123481574e-03               33547    3.2847670222e-03               40528    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -3.6602362911e-04               80018    6.3058443295e-05                 651   -1.3350867295e-03               25221    1.2326325349e-03               49564   -1.1990364370e-03               47128    1.2683661469e-03               20470    0.0000000000e+00                   1    0.0000000000e+00                   1   -9.0834061311e-02               33546    1.0284567766e-01               71035   -1.7599077762e-08   -6.3570997356e-10    0.0000000000e+00    0.0000000000e+00    3.9537294513e-06   -5.1863552736e-09    0.0000000000e+00    0.0000000000e+00
    3.0000000000e+01   -1.1048066850e-04   -1.2512480489e-04    1.1325493101e+00    1.1326744349e+00    1.1319969764e+00    0.0000000000e+00    0.0000000000e+00    5.5233375300e-04    5.6275165583e-07    0.0000000000e+00    0.0000000000e+00    1.1313451742e+00    4.2827708569e-06    0.0000000000e+00    0.0000000000e+00    8.0092211924e+01    1.7201000000e+05   -1.0000000000e+00    1.2795954413e-03    0.0000000000e+00    8.0122247213e+01    1.7200500000e+05    1.0000000000e+00    1.1307173809e+00    0.0000000000e+00    2.7809747140e-04    2.7234131610e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.8949655052e-06   -3.9694142835e-03               28859    3.9550509233e-03               10156   -4.5190219661e-03               33547    3.8792369808e-03               46576    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -4.2260005692e-04               80019    9.7377437793e-05                 253   -1.2595647144e-03                 319    1.2849031172e-03                 686   -1.0483671631e-03                 472    1.0594001036e-03                4875    0.0000000000e+00                 101    0.0000000000e+00                 101   -7.8678310283e-02               13399    8.8002187048e-02               52824   -1.1385168756e-07   -1.5569333347e-09    0.0000000000e+00    0.0000000000e+00    4.3966225445e-06   -3.9450111585e-09    0.0000000000e+00    0.0000000000e+00
    3.5000000000e+01   -6.2978141621e-05   -1.2810112570e-04    2.0340569347e+00    2.0341850358e+00    2.0336163056e+00    0.0000000000e+00    0.0000000000e+00    4.4062903967e-04    6.0753397091e-07    0.0000000000e+00    0.0000000000e+00    2.0328558477e+00    4.2549436789e-06    0.0000000000e+00    0.0000000000e+00    8.0183263173e+01    1.7396300000e+05   -1.0000000000e+00    1.8668333173e-03    0.0000000000e+00    8.0219661802e+01    1.7398700000e+05    1.0000000000e+00    2.0317494723e+00    0.0000000000e+00    2.1872382716e-04    2.1977838788e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1268246255e-06   -3.4247042702e-03                 685    3.2392429824e-03               64877   -3.1019941003e-03               44727    3.2516315686e-03               49176    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -4.1635062581e-04               80003    1.6525251096e-04                1184   -1.8086341155e-03                 807    1.9028788329e-03                 287   -1.4055526081e-03               45388    1.2646798268e-03               47128    0.0000000000e+00                  51    0.0000000000e+00                  51   -9.1710772030e-02               38941    7.7348046116e-02                 157   -4.7871394689e-07   -6.7669973359e-09    0.0000000000e+00    0.0000000000e+00    4.7336576258e-06   -3.0441044419e-09    0.0000000000e+00    0.0000000000e+00
    4.0000000000e+01   -3.6754603729e-05   -1.2705446601e-04    3.4568313387e+00    3.4569583932e+00    3.4563135616e+00    0.0000000000e+00    0.0000000000e+00    5.1777715912e-04    7.2869955044e-07    0.0000000000e+00    0.0000000000e+00    3.4556300499e+00    3.5312833602e-06    0.0000000000e+00    0.0000000000e+00    8.0328441699e+01    1.7593200000e+05   -1.0000000000e+00    2.5676900851e-03    0.0000000000e+00    8.0373402387e+01    1.7600100000e+05    1.0000000000e+00    3.4537458715e+00    0.0000000000e+00    2.6219987044e-04    2.5366960372e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.9076849668e-06   -4.3358790350e-03                 459    3.5845982833e-03                 492   -3.6440493834e-03               41297    3.8143450809e-03               34195    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -3.9355375203e-04               80198    2.5818782331e-04                 574   -3.8835043676e-03                 423    3.1164207786e-03                 773   -1.1071760246e-03               13041    1.3713482692e-03               75077    0.0000000000e+00                 101    0.0000000000e+00                 101   -8.5566865059e-02               40527    8.4071722032e-02                 157   -1.3872362369e-06   -1.5350675566e-08    0.0000000000e+00    0.0000000000e+00    4.9185195970e-06   -8.9694640787e-10    0.0000000000e+00    0.0000000000e+00
    4.5000000000e+01   -2.4115976794e-05   -1.3320147870e-04    5.5233706619e+00    5.5235038634e+00    5.5229514636e+00    0.0000000000e+00    0.0000000000e+00    4.1919831901e-04    8.0905984623e-07    0.0000000000e+00    0.0000000000e+00    5.5221768196e+00    2.3120974224e-06    0.0000000000e+00    0.0000000000e+00    8.0550155506e+01    1.7795500000e+05   -1.0000000000e+00    3.8285210940e-03    0.0000000000e+00    8.0596704251e+01    1.7802800000e+05    1.0000000000e+00    5.5191229425e+00    0.0000000000e+00    2.0852411199e-04    2.0866251342e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0116936038e-06   -3.6972903583e-03                 273    4.2661807623e-03                 229   -4.1188654467e-03                 574    3.4463235335e-03               20471    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -3.7757556429e-04               80199    3.0195617260e-04                 377   -4.5467119825e-03                 515    5.5506368123e-03                 375   -1.2883619150e-03                1025    1.6171044186e-03                1089    0.0000000000e+00                 151    0.0000000000e+00                 151   -8.6072920129e-02               75387    7.8167360790e-02                 157   -2.5987448849e-06   -1.4789662687e-08    0.0000000000e+00    0.0000000000e+00    4.9108423072e-06    1.3978809183e-09    0.0000000000e+00    0.0000000000e+00
    5.0000000000e+01   -1.5674136448e-05   -1.3097586199e-04    8.3561772240e+00    8.3563081998e+00    8.3556779380e+00    0.0000000000e+00    0.0000000000e+00    4.9928601989e-04    1.1035211372e-06    0.0000000000e+00    0.0000000000e+00    8.3549837499e+00    1.2739042123e-08    0.0000000000e+00    0.0000000000e+00    8.0842315729e+01    1.7993800000e+05   -1.0000000000e+00    5.2423154588e-03    0.0000000000e+00    8.0902810165e+01    1.8007800000e+05    1.0000000000e+00    8.3504356225e+00    0.0000000000e+00    2.5583368374e-04    2.4136008365e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0922524993e-06   -4.8864002670e-03                 791    6.8528723574e-03                 477   -3.9213515632e-03                1233    5.0481392406e-03                  66    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -4.4406843294e-04                 294    4.7929559489e-04                 213   -5.1749716838e-03                1281    5.8868217416e-03                 295   -1.7690587982e-03                 975    1.4471892358e-03                 746    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.0584879211e-01                 477    1.0452748149e-01                 389   -4.6207106015e-06   -3.3815286488e-08    0.0000000000e+00    0.0000000000e+00    4.6334496436e-06    3.7204058754e-09    0.0000000000e+00    0.0000000000e+00
    5.5000000000e+01   -1.1051453383e-05   -1.3024364012e-04    1.1785204679e+01    1.1785334923e+01    1.1784753556e+01    0.0000000000e+00    0.0000000000e+00    4.5112281795e-04    1.6681614898e-06    0.0000000000e+00    0.0000000000e+00    1.1784015953e+01   -4.9034632062e-06    0.0000000000e+00    0.0000000000e+00    8.1213320075e+01    1.8193800000e+05   -1.0000000000e+00    7.2036800154e-03    0.0000000000e+00    8.1273331995e+01    1.8204700000e+05    1.0000000000e+00    1.1777549876e+01    0.0000000000e+00    2.2812001964e-04    2.2096043302e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0423652983e-06   -5.6830500156e-03                 217    5.2589961200e-03                 547   -5.4499929553e-03                 146    6.5961813976e-03                 149    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051    0.0000000000e+00               20051   -5.5215760760e-04                 393    4.7008755072e-04                 319   -7.2883543248e-03                 227    7.5341679022e-03                 556   -1.5134057346e-03                1434    1.6591568159e-03                 443    0.0000000000e+00               20051    0.0000000000e+00               20051   -1.4096072440e-01                 790    1.0440103214e-01                 399   -9.1208149889e-06   -1.9903128043e-08    0.0000000000e+00    0.0000000000e+00    4.2173517827e-06    4.1288099907e-09    0.0000000000e+00    0.0000000000e+00
