

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.333e+00	 6.333e+00	 6.333e+00	 0.000e+00
       Maxwell	 3.832e-01	 3.832e-01	 3.832e-01	 0.000e+00
    Maxwell_BC	 3.200e-01	 3.200e-01	 3.200e-01	 0.000e+00
   Diagnostics	 1.947e+00	 1.947e+00	 1.947e+00	 0.000e+00
     Densities	 1.332e-01	 1.332e-01	 1.332e-01	 0.000e+00
    Collisions	 2.809e-01	 2.809e-01	 2.809e-01	 0.000e+00
    Mov window	 9.996e-02	 9.996e-02	 9.996e-02	 0.000e+00
Sync Particles	 2.844e+00	 2.844e+00	 2.844e+00	 0.000e+00
   Sync Fields	 5.315e-01	 5.315e-01	 5.315e-01	 0.000e+00
Sync Densities	 6.350e-01	 6.350e-01	 6.350e-01	 0.000e+00
  Part Merging	 1.758e-01	 1.758e-01	 1.758e-01	 0.000e+00
Part Injection	 1.887e-01	 1.887e-01	 1.887e-01	 0.000e+00


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.260e+01	 1.260e+01	 1.260e+01	 0.000e+00
       Maxwell	 6.557e-01	 6.557e-01	 6.557e-01	 0.000e+00
    Maxwell_BC	 4.984e-01	 4.984e-01	 4.984e-01	 0.000e+00
   Diagnostics	 3.224e+00	 3.224e+00	 3.224e+00	 0.000e+00
     Densities	 2.277e-01	 2.277e-01	 2.277e-01	 0.000e+00
    Collisions	 4.585e-01	 4.585e-01	 4.585e-01	 0.000e+00
    Mov window	 1.404e-01	 1.404e-01	 1.404e-01	 0.000e+00
Sync Particles	 4.898e+00	 4.898e+00	 4.898e+00	 0.000e+00
   Sync Fields	 9.096e-01	 9.096e-01	 9.096e-01	 0.000e+00
Sync Densities	 1.043e+00	 1.043e+00	 1.043e+00	 0.000e+00
  Part Merging	 2.835e-01	 2.835e-01	 2.835e-01	 0.000e+00
Part Injection	 2.865e-01	 2.865e-01	 2.865e-01	 0.000e+00


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.901e+01	 1.901e+01	 1.901e+01	 0.000e+00
       Maxwell	 9.641e-01	 9.641e-01	 9.641e-01	 0.000e+00
    Maxwell_BC	 6.593e-01	 6.593e-01	 6.593e-01	 0.000e+00
   Diagnostics	 4.519e+00	 4.519e+00	 4.519e+00	 0.000e+00
     Densities	 3.304e-01	 3.304e-01	 3.304e-01	 0.000e+00
    Collisions	 6.499e-01	 6.499e-01	 6.499e-01	 0.000e+00
    Mov window	 1.953e-01	 1.953e-01	 1.953e-01	 0.000e+00
Sync Particles	 7.061e+00	 7.061e+00	 7.061e+00	 0.000e+00
   Sync Fields	 1.308e+00	 1.308e+00	 1.308e+00	 0.000e+00
Sync Densities	 1.491e+00	 1.491e+00	 1.491e+00	 0.000e+00
  Part Merging	 4.067e-01	 4.067e-01	 4.067e-01	 0.000e+00
Part Injection	 3.965e-01	 3.965e-01	 3.965e-01	 0.000e+00


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.545e+01	 2.545e+01	 2.545e+01	 0.000e+00
       Maxwell	 1.263e+00	 1.263e+00	 1.263e+00	 0.000e+00
    Maxwell_BC	 8.289e-01	 8.289e-01	 8.289e-01	 0.000e+00
   Diagnostics	 5.862e+00	 5.862e+00	 5.862e+00	 0.000e+00
     Densities	 4.422e-01	 4.422e-01	 4.422e-01	 0.000e+00
    Collisions	 8.709e-01	 8.709e-01	 8.709e-01	 0.000e+00
    Mov window	 2.471e-01	 2.471e-01	 2.471e-01	 0.000e+00
Sync Particles	 9.360e+00	 9.360e+00	 9.360e+00	 0.000e+00
   Sync Fields	 1.745e+00	 1.745e+00	 1.745e+00	 0.000e+00
Sync Densities	 1.983e+00	 1.983e+00	 1.983e+00	 0.000e+00
  Part Merging	 5.331e-01	 5.331e-01	 5.331e-01	 0.000e+00
Part Injection	 5.203e-01	 5.203e-01	 5.203e-01	 0.000e+00


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.178e+01	 3.178e+01	 3.178e+01	 0.000e+00
       Maxwell	 1.557e+00	 1.557e+00	 1.557e+00	 0.000e+00
    Maxwell_BC	 1.004e+00	 1.004e+00	 1.004e+00	 0.000e+00
   Diagnostics	 7.294e+00	 7.294e+00	 7.294e+00	 0.000e+00
     Densities	 5.698e-01	 5.698e-01	 5.698e-01	 0.000e+00
    Collisions	 1.088e+00	 1.088e+00	 1.088e+00	 0.000e+00
    Mov window	 2.991e-01	 2.991e-01	 2.991e-01	 0.000e+00
